ERROR - 2025-06-02 20:38:10 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:11 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:11 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:11 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:11 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:11 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:11 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:19 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:19 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:19 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:19 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:19 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:19 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
ERROR - 2025-06-02 20:38:19 --> Subcategory not found for category_id: 1, sanitized subcategory_name: assets
